,Tesseract,Ground_Truth
29261,Membershlp,Membership
29262,Commlttees,Committees
29263,appllcatlon,application
29264,cm,CMA
29265,membershlp,membership
29266,nghllghts,Highlights
29267,o,o
29268,cm,CMA
29269,Prellmlnary,Preliminary
29270,actlvlty,activity
29271,Commlttee,Committee
29272,Washlngton,Washington
29273,ndvdual,individual
29274,Commlttee,Committee
29275,nvted,invited
29276,meetlng,meeting
29277,mornlng,morning
29278,meetlng,meeting
29279,CHEMNETCAERAlr,CHEMNETCAERAir
29280,partlclpatlon,participation
29281,Toxlcs,Toxics
29282,descrlbed,described
29283,Quallty,Quality
29284,sprlng,spring
29285,Hlth,with
29286,A,A
29287,Commlttee,Committee
29288,Llablllty,Liability
29289,y,y
29290,A,A
29291,Mlnlmlzatlon,Minimization
29292,cm,CMA
29293,A,A
29294,pollcy,policy
29295,A,A
29296,A,A
29297,Labellng,Labeling
29298,prlnclples,principles
29299,speclflc,specific
29300,Commlttee,Committee
29301,Commlttee,Committee
29302,Commlttee,Committee
29303,meetlng,meeting
29304,a,a
29305,contrlbutlons,contributions
29306,a,a
29307,v,US
29308,Savlngs,Savings
29309,avaliablllty,availability
29310,llablllty,liability
29311,dlstrlbutors,distributors
29312,cm,CMA
29313,Commlttee,Committee
29314,m,to
29315,cm,CMA
29316,asslstance,assistance
29317,commm,COMMITTEE
29318,Membershlp,Membership
29319,Commlttee,Committee
29320,quallflcatlons,qualifications
29321,N,ON
29322,MOTION,MOTION
29323,VOTED,VOTED
29324,Dlvlslon,Division
29325,membershlp,membership
29326,Treasurers,Treasurers
29327,endlng,ending
29328,By,By
29329,A,Asso
29330,resultlng,resulting
29331,mm,with
29332,a,a
29333,sllght,slight
29334,contrlbutlon,contribution
29335,m,to
29336,membershlp,membership
29337,Hlth,with
29338,a,a
29339,Exhlblt,Exhibit
29340,hlghllghted,highlighted
29341,III,III
29342,Assoclatlons,Associations
29343,B,B
29344,cm,CMA
29345,Commlttee,Committee
29346,A,A
29347,whlch,which
29348,posltlve,positive
29349,ellmlnatlon,elimination
29350,ndcated,indicated
29351,commlttee,committee
29352,antlclpated,anticipated
29353,technlcal,technical
29354,a,a
29355,ms,his
29356,whlch,which
29357,CMAS,CMAs
29358,actlvltles,activities
29359,Commlttees,Committees
29360,ndcated,indicated
29361,ndustry,industry
29362,Commlttees,Committees
29363,a,a
29364,Exhlblt,Exhibit
29365,K,K
29366,commm,COMMITTEE
29367,Commlttee,Committee
29368,Hlth,with
29369,attrlbuted,attributed
29370,thls,this
29371,commltment,commitment
29372,whlch,which
29373,a,a
29374,ndustrys,industrys
29375,ndustrys,industrys
29376,commlttees,committees
29377,asslstance,assistance
29378,utlllzatlon,utilization
29379,toxlcs,toxics
29380,mm,with
29381,m,to
29382,membershlp,membership
29383,a,a
29384,cm,CMA
29385,A,A
29386,Exhlblt,Exhibit
29387,M,M
29388,ndcated,indicated
29389,a,a
29390,actlvlty,activity
29391,regardlng,regarding
29392,Messrs,Messrs
29393,a,a
29394,mlnlmlzatlon,minimization
29395,leltlng,Limiting
29396,llablllty,liability
29397,understandlng,understanding
29398,carrylng,carrying
29399,mlnlmlzatlon,minimization
29400,EPA,EPA
29401,mlnlmlzatlon,minimization
29402,a,a
29403,actlvltles,activities
29404,mlnlmlzatlon,minimization
29405,N,ON
29406,MOTION,MOTION
29407,VOTED,VOTED
29408,mlnlmlzatlon,minimization
29409,N,N
29410,GRovNDwATER,GROUNDWATER
29411,Messrs,Messrs
29412,Cunnlngham,Cunningham
29413,a,a
29414,speclflc,specific
29415,responslbllltles,responsibilities
29416,Cunnlngham,Cunningham
29417,CMAS,CMAs
29418,thls,this
29419,cm,CMA
29420,Hlth,with
29421,Identlfy,Identify
29422,allles,allies
29423,ml,similar
29424,commlttees,committees
29425,unplementlng,implementing
29426,pollcy,policy
29427,N,ON
29428,MOTION,MOTION
29429,VOTED,VOTED
29430,PoLICy,POLICY
29431,by,by
29432,thls,this
29433,a,a
29434,thls,this
29435,MOTION,MOTION
29436,VOTED,VOTED
29437,F,P
29438,a,a
29439,submlsslon,submission
29440,ANSI,ANSI
29441,ndcated,indicated
29442,organsystem,organsystem
29443,N,ON
29444,MOTION,MOTION
29445,VOTED,VOTED
29446,submlsslon,submission
29447,descrlbed,described
29448,Exhlblt,Exhibit
29449,cm,CMA
29450,a,a
29451,regardlng,regarding
29452,pendlng,pending
29453,notlflcatlon,notification
29454,by,by
29455,by,by
29456,whlch,which
29457,modlflcatlons,modifications
29458,analysls,analysis
29459,ndcated,indicated
29460,lltlgatlon,litigation
29461,thls,this
29462,posslble,possible
29463,CMAS,CMAs
29464,polltlcally,politically
29465,Commlttee,Committee
29466,thls,this
29467,Commlttee,Committee
29468,Commlttee,Committee
29469,addltlonal,additional
29470,speclflc,specific
29471,Commlttee,Committee
29472,meetlng,meeting
29473,Commlttee,Committee
29474,m,to
29475,overslght,oversight
29476,speclflc,specific
29477,whlch,which
29478,responslblllty,responsibility
29479,m,to
29480,prlnclples,principles
29481,by,by
29482,responslblllty,responsibility
29483,notlflcatlon,notification
29484,regardlng,regarding
29485,CMAS,CMAs
29486,partlclpatlon,participation
29487,thls,this
29488,iSSuE,issue
29489,necesslty,necessity
29490,m,to
29491,flexlblllty,flexibility
29492,N,ON
29493,MOTION,MOTION
29494,VOTED,VOTED
29495,notlflcatlon,notification
29496,Commlttee,Committee
29497,Commlttee,Committee
29498,speclflc,specific
29499,m,to
29500,Commlttee,Committee
29501,meetlng,meeting
29502,cm,CMA
29503,a,a
29504,by,by
29505,Commlttee,Committee
29506,s,CSIs
29507,flrst,first
29508,csx,CSX
29509,MOTION,MOTION
29510,VOTED,VOTED
29511,contrlbute,contribute
29512,accordlng,according
29513,m,to
29514,a,a
29515,contrlbutlons,contributions
29516,by,by
29517,by,by
29518,cm,CMA
29519,Hlth,with
29520,mg,ing
29521,contrlbutlons,contributions
29522,by,by
29523,contrlbutlons,contributions
29524,cm,CMA
29525,a,a
29526,mllllon,million
29527,mllllon,million
29528,Hlth,with
29529,mllllon,million
29530,thlrd,third
29531,by,by
29532,Commlttee,Committee
29533,merlts,merits
29534,Contrlbutlon,Contribution
29535,Bllllon,Billion
29536,M,M
29537,Contrlbutlon,Contribution
29538,Addltlonal,Additional
29539,contrlbutlon,contribution
29540,Exhlblt,Exhibit
29541,R,R
29542,cm,CMA
29543,savlngs,savings
29544,thls,this
29545,a,a
29546,MOTION,MOTION
29547,VOTED,VOTED
29548,savlngs,savings
29549,Exhlblt,Exhibit
29550,ertlfled,ertified
29551,cm,CMA
29552,ursmmmmu,DISTRIBUTION
29553,dlstrlbutlon,distribution
29554,a,a
29555,by,by
29556,Dlstrlbutlon,Distribution
29557,Commlttee,Committee
29558,rlsk,risk
29559,affectlng,affecting
29560,dlstrlbutlon,distribution
29561,a,a
29562,offlclals,officials
29563,envlronmentallsts,environmentalists
29564,overslght,oversight
29565,commlttees,committees
29566,rlsks,risks
29567,mm,with
29568,Dlstrlbutlon,Distribution
29569,Commlttee,Committee
29570,mm,with
29571,trucklng,trucking
29572,rlsks,risks
29573,rlsk,risk
29574,ndvdual,individual
29575,Hlth,with
29576,posslble,possible
29577,transportlng,transporting
29578,a,a
29579,actlvlty,activity
29580,whlch,which
29581,a,a
29582,dlstrlbutlon,distribution
29583,Distrlbutlon,Distribution
29584,Commlttee,Committee
29585,nstrumental,instrumental
29586,dumplng,dumping
29587,Dlstrlbutlon,Distribution
29588,Commlttees,Committees
29589,dld,did
29590,m,to
29591,v,US
29592,shlppers,shippers
29593,a,a
29594,mm,with
29595,a,a
29596,gettlng,getting
29597,offlclals,officials
29598,a,a
29599,m,to
29600,NCRIC,NCRIC
29601,ndustrys,industrys
29602,fulfllllng,fulfilling
29603,cammmc,CHEMTREC
29604,whlch,which
29605,a,a
29606,actlvltles,activities
29607,a,a
29608,cammm,CHEMTREC
29609,Transmlsslon,Transmission
29610,whlch,which
29611,a,a
29612,llnk,link
29613,ndustrys,industrys
29614,flrst,first
29615,encompasslng,encompassing
29616,by,by
29617,Spllls,Spills
29618,a,a
29619,handllng,handling
29620,Landlng,Landing
29621,thls,this
29622,technlques,techniques
29623,handllng,handling
29624,qulckly,quickly
29625,rlghtitoiknow,righttoknow
29626,a,a
29627,Dlstrlbutlon,Distribution
29628,Commlttees,Committees
29629,Commlttee,Committee
29630,dlstrlbutlon,distribution
29631,Commlttee,Committee
29632,gettlng,getting
29633,Commlsslon,Commission
29634,m,to
29635,a,a
29636,responslbllltles,responsibilities
29637,Commlttee,Committee
29638,a,a
29639,helplng,helping
29640,establlsh,establish
29641,a,a
29642,shlppers,shippers
29643,m,to
29644,a,a
29645,dld,did
29646,Dlstrlbutlon,Distribution
29647,Commlttee,Committee
29648,thls,this
29649,meetlng,meeting
29650,a,a
29651,governlng,governing
29652,cm,CMA
29653,cm,CMA
29654,B,B
29655,rlsk,risk
29656,shlpments,shipments
29657,publlclty,publicity
29658,cammm,CHEMNET
29659,addltlonal,additional
29660,membershlp,membership
29661,cm,CMA
29662,membershlp,membership
29663,addltlonal,additional
29664,subscrlber,subscriber
29665,by,by
29666,mm,with
29667,flrst,first
29668,a,a
29669,asslstance,assistance
29670,ncdents,incidents
29671,membershlp,membership
29672,Partlclpants,Participants
29673,Subscrlbers,Subscribers
29674,AlllerkSlgnal,AlliedSignal
29675,Badlsche,Badische
29676,Dlvlslon,Division
29677,BFGoodrlch,BFGoodrich
29678,Dccldental,Occidental
29679,HarshawFlltrol,HarshawFiltrol
29680,Malllnckrodt,Mallinckrodt
29681,NL,NL
29682,Rellly,Reilly
29683,cm,CMA
29684,msy,US
29685,PPG,PPG
29686,chemcal,OilChemical
29687,V,via
29688,Sterllng,Sterling
29689,Reflnlng,Refining
29690,SunDlln,SunOlin
29691,USA,USA
29692,A,OlA
29693,partlclpants,participants
29694,subscrlbers,subscribers
29695,savlngs,savings
29696,m,to
29697,a,C
29698,TCC,TCC
29699,a,a
29700,membershlp,membership
29701,shlpments,shipments
29702,mghly,highly
29703,by,by
29704,worklng,working
29705,mm,with
29706,a,a
29707,Commlttees,Committees
29708,CAER,CAER
29709,credlblllty,credibility
29710,ch,TCC
29711,a,a
29712,nfluencng,influencing
29713,toxlcs,toxics
29714,a,a
29715,conslstlng,consisting
29716,flrms,firms
29717,Hlth,with
29718,ch,TCC
29719,ACIT,ACIT
29720,Hlth,with
29721,mm,with
29722,speclflc,specific
29723,defendlng,defending
29724,helplng,helping
29725,Hlth,with
29726,nfluencng,influencing
29727,polltlcal,political
29728,o,o
29729,by,by
29730,a,a
29731,ch,TCC
29732,decllnlng,declining
29733,A,A
29734,mm,with
29735,a,a
29736,a,a
29737,bllllon,billion
29738,a,a
29739,bllllon,billion
29740,conslstent,consistent
29741,mm,with
29742,a,a
29743,mm,with
29744,frelght,freight
29745,Comptrollers,Comptrollers
29746,by,by
29747,whlch,which
29748,a,a
29749,Lobbylng,Lobbying
29750,by,by
29751,whlch,which
29752,ndustry,industry
29753,addltlon,addition
29754,lobbylng,lobbying
29755,worklng,working
29756,B,B
29757,meanlngful,meaningful
29758,TCJL,TCJL
29759,establlshed,established
29760,mm,with
29761,ch,TCC
29762,a,a
29763,foundlng,founding
29764,brlng,bring
29765,dlstrlcts,districts
29766,ntlatlon,initiation
29767,llmltatlons,limitations
29768,punltlve,punitive
29769,llmltatlons,limitations
29770,contlngency,contingency
29771,llmltatlons,limitations
29772,llablllty,liability
29773,Accompllshlng,Accomplishing
29774,by,by
29775,conslsts,consists
29776,publlc,public
29777,commlttees,committees
29778,recrultlng,recruiting
29779,TCJL,TCJL
29780,Hlth,with
29781,responslble,responsible
29782,supportlng,supporting
29783,ch,TCC
29784,a,a
29785,Electrlcal,Electrical
29786,hlgh,high
29787,facllltate,facilitate
29788,electrlclty,electricity
29789,Selllng,Selling
29790,electrlcal,electrical
29791,efflclent,efficient
29792,by,by
29793,monopollstlc,monopolistic
29794,Wllllng,Willing
29795,m,to
29796,Hlth,with
29797,D,D
29798,commlsslon,commission
29799,a,a
29800,conslstent,consistent
29801,Hlth,with
29802,utlllzlng,utilizing
29803,exlstlng,existing
29804,worklng,working
29805,relatlonshlp,relationship
29806,responslble,responsible
29807,by,by
29808,ndustry,industry
29809,cm,CMA
29810,rlsk,risk
29811,mm,with
29812,envlronmentallsts,environmentalists
29813,m,to
29814,by,by
29815,Hlth,with
29816,posslble,possible
29817,recognltlon,recognition
29818,A,Assist
29819,complylng,complying
29820,mm,with
29821,DSHABLS,OSHABLS
29822,njuryllness,injuryillness
29823,flght,fight
29824,actlvltles,activities
29825,mm,with
29826,mm,with
29827,offlclals,officials
29828,technlcal,technical
29829,resourclng,resourcing
29830,credlblllty,credibility
29831,leglslatlonregulatlon,legislationregulation
29832,accordlngly,accordingly
29833,o,o
29834,o,o
29835,contrlbutlons,contributions
29836,Hlth,with
29837,ch,TCC
29838,A,Assist
29839,CICs,CICs
29840,deflnlng,defining
29841,mm,with
29842,competltlveness,competitiveness
29843,u,D
29844,commlttee,committee
29845,Commlttee,Committee
29846,hlghly,highly
29847,Vorklng,vorking
29848,mm,with
29849,CMAS,CMAs
29850,Commlttee,Committee
29851,CMAS,CMAs
29852,ndustrys,industrys
29853,publlc,public
29854,Commlttee,Committee
29855,by,by
29856,puttlng,putting
29857,rlghtitoiknow,righttoknow
29858,CMAS,CMAs
29859,exlstlng,existing
29860,Slgnlflcantly,Significantly
29861,convlnclng,convincing
29862,defenslble,defensible
29863,notlflcatlon,notification
29864,by,by
29865,Commlttee,Committee
29866,EPAS,EPAs
29867,Commlttee,Committee
29868,OSHA,OSHA
29869,Commlttee,Committee
29870,CMAS,CMAs
29871,CAER,CAER
29872,strldes,strides
29873,prlnclpal,principal
29874,addltlon,addition
29875,BSC,BSC
29876,Hlth,with
29877,Statlstlcs,Statistics
29878,reportlng,reporting
29879,lllnesses,illnesses
29880,Commlttees,Committees
29881,mm,with
29882,pollcy,policy
29883,Commlttee,Committee
29884,cm,CMA
29885,A,A
29886,speclflc,specific
29887,m,to
29888,CMAS,CMAs
29889,membershlp,membership
29890,a,a
29891,Commlttees,Committees
29892,actlvltles,activities
29893,ndustry,industry
29894,Commlttee,Committee
29895,ovmwmw,OVERVIEW
29896,Commlttee,Committee
29897,CMAS,CMAs
29898,standlng,standing
29899,commlttees,committees
29900,Commlttee,Committee
29901,thls,this
29902,standlng,standing
29903,commlttee,committee
29904,descrlbe,describe
29905,by,by
29906,klnds,kinds
29907,thls,this
29908,posltlve,positive
29909,Commlttee,Committee
29910,Hlth,with
29911,notlflcatlon,notification
29912,speclflc,specific
29913,reportlng,reporting
29914,Hlth,with
29915,llttle,little
29916,addltlon,addition
29917,a,a
29918,mm,with
29919,CMAS,CMAs
29920,substltutlng,substituting
29921,a,a
29922,commlttees,committees
29923,III,III
29924,reportlng,reporting
29925,CMAS,CMAs
29926,exlstlng,existing
29927,a,a
29928,admlnlstratlve,administrative
29929,a,a
29930,conslstent,consistent
29931,Hlth,with
29932,commlttees,committees
29933,Industry,Industry
29934,m,to
29935,classlfy,classify
29936,mgn,high
29937,notlflcatlon,notification
29938,by,by
29939,expandlng,expanding
29940,exlstlng,existing
29941,Commlttees,Committees
29942,commlttees,committees
29943,mm,with
29944,Commlttee,Committee
29945,a,a
29946,hlgh,high
29947,respondlng,responding
29948,Commlttee,Committee
29949,a,a
29950,recommendlng,recommending
29951,mm,With
29952,Admlnlstratlon,Administration
29953,mm,with
29954,lllness,illness
29955,reportlng,reporting
29956,Hlth,with
29957,m,to
29958,a,a
29959,CMADSHA,CMAOSHA
29960,cm,CMA
29961,By,By
29962,worklng,working
29963,Hlth,with
29964,dentlfy,identify
29965,troubllng,troubling
29966,flnss,finss
29967,mm,with
29968,mllllon,million
29969,Instltute,Institute
29970,EA,EA
29971,CoolBlctee,CooiBlctee
29972,agencys,agencys
29973,unbendlng,unbending
29974,convlctlon,conviction
29975,nsufflcent,insufficient
29976,testlng,testing
29977,rlsk,risk
29978,TSCA,TSCA
29979,Hlth,with
29980,EA,EA
29981,thls,this
29982,mlght,might
29983,partlclpatlng,participating
29984,mm,with
29985,resultlng,resulting
29986,testlng,testing
29987,reportlng,reporting
29988,addltlon,addition
29989,antagonlsts,antagonists
29990,a,a
29991,understandlng,understanding
29992,mm,with
29993,mm,with
29994,Commlttee,Committee
29995,understandlng,understanding
29996,m,to
29997,cm,CMA
29998,ntlated,initiated
29999,whlch,which
30000,qulckly,quickly
30001,must,must
30002,meetlngs,meetings
30003,a,a
30004,by,by
30005,BSC,BSC
30006,addltlon,addition
30007,Commlttee,Committee
30008,slgnlflcantly,significantly
30009,analysls,analysis
30010,a,a
30011,meetlngs,meetings
30012,protectlng,protecting
30013,conanmlty,conanmlty
30014,facllltles,facilities
30015,CMAS,CMAs
30016,a,a
30017,Commlttee,Committee
30018,Hlth,with
30019,Dlstrlbutlon,Distribution
30020,conslstency,consistency
30021,ndustry,industry
30022,commlttees,committees
30023,by,by
30024,publlcs,publics
30025,Inconslstency,Inconsistency
30026,CMAS,CMAs
30027,credlblllty,credibility
30028,Hlth,with
30029,a,a
30030,A,A
30031,Commlttee,Committee
30032,actlvltles,activities
30033,a,a
30034,ndcates,indicates
30035,w,will
30036,mgn,high
30037,m,to
30038,mm,with
30039,III,III
30040,a,a
30041,unplementlng,implementing
30042,CMAS,CMAs
30043,a,a
30044,flrst,first
30045,th,th
30046,overslght,oversight
30047,notlflcatlon,notification
30048,survelllance,surveillance
30049,recomendlng,recomending
30050,I,It
30051,ntlatlon,initiation
30052,thls,this
30053,whlch,which
30054,HSCS,HSCs
30055,HSCS,HSCs
30056,m,to
30057,Relstry,Registry
30058,th,the
30059,Implemntlng,Implementing
30060,costly,costly
30061,Commenclng,Commencing
30062,partlclpatlon,participation
30063,Vlth,vlth
30064,exlstlng,existing
30065,E,E
30066,Membershlp,Membership
30067,by,by
30068,a,a
30069,tandlng,standing
30070,responslble,responsible
30071,a,a
30072,membershlp,membership
30073,pollcy,policy
30074,dentlfy,identify
30075,ddltlonal,additional
30076,m,to
30077,asklng,asking
30078,h,that
30079,by,by
30080,respondlng,responding
30081,Indlvldual,Individual
30082,Hlth,with
30083,ms,firms
30084,thls,this
30085,requestlng,requesting
30086,a,a
30087,prnmpt,prompt
30088,a,a
30089,cm,CMA
30090,o,o
30091,facllltls,facilities
30092,facllltles,facilities
30093,representlng,representing
30094,o,of
30095,technlques,techniques
30096,assessmnts,assessments
30097,ndcated,indicated
30098,a,a
30099,ntlated,initiated
30100,Hlth,with
30101,emlsslons,emissions
30102,actlvltles,activities
30103,o,o
30104,cm,CMA
30105,unplementlng,implementing
30106,by,rated
30107,m,to
30108,Hlth,with
30109,posslble,possible
30110,ndca,indicate
30111,addltlonal,additional
30112,understandlng,understanding
30113,asslstance,assistance
30114,r,r
30115,ﬁlms,firms
30116,a,a
30117,rlsk,risk
30118,I,I
30119,comply,comply
30120,thls,this
30121,actlvlty,activity
30122,by,by
30123,by,by
30124,pollcy,policy
30125,A,A
30126,ndustry,industry
30127,membershlp,membership
30128,Identlfled,Identified
30129,actlvltles,activities
30130,F,F
30131,F,OF
30132,affectlng,affecting
30133,mm,SEAG
30134,Commlttees,Committees
30135,mm,with
30136,energyfedstockeconomlc,energyfeedstockeconomic
30137,ndvduals,individuals
30138,a,a
30139,commlttee,committee
30140,appendlxh,appendix
30141,rapldly,rapidly
30142,Hlth,with
30143,e,issue
30144,responslble,responsible
30145,speclflc,specific
30146,ndustry,industry
30147,bllllonyear,billionyear
30148,t,thereby
30149,by,by
30150,bllllnyear,billionyear
30151,thls,this
30152,tlms,times
30153,by,by
30154,t,the
30155,Admlnlstratlon,Administration
30156,polltlcal,political
30157,Admlnlstratlon,Administration
30158,m,to
30159,ntlate,initiate
30160,analysls,analysis
30161,a,a
30162,ndustry,industry
30163,analysls,analysis
30164,a,a
30165,posslble,possible
30166,A,CMA
30167,m,to
30168,submltted,submitted
30169,analysls,analysis
30170,Admlnlstratlon,Administration
30171,mm,with
30172,t,the
30173,e,Administrations
30174,Admlnlstratlons,opposition
30175,addltlonal,additional
30176,a,a
30177,posslble,possible
30178,shlft,shift
30179,addltlon,addition
30180,accompllshed,accomplished
30181,followlng,following
30182,Commlttee,Committee
30183,a,a
30184,bllllonyear,billionyear
30185,m,to
30186,electrlclty,electricity
30187,by,by
30188,cm,CMA
30189,CMAS,CMAs
30190,ellmlnate,eliminate
30191,reportlng,reporting
30192,trnsportatlon,transportation
30193,plpllne,pipeline
30194,afflllates,affiliates
30195,Enrgy,Energy
30196,Actlvlty,Activity
30197,prlrlty,priority
30198,v,US
30199,v,US
30200,a,a
30201,a,a
30202,ndustry,industry
30203,affectlng,affecting
30204,m,to
30205,m,Hill
30206,Admlnlstratlon,Administration
30207,productlvlty,productivity
30208,s,is
30209,mm,with
30210,thlc,ethic
30211,ellmlnated,eliminated
30212,reportlng,reporting
30213,competltlveness,competitiveness
30214,ndustry,industry
30215,by,by
30216,SAG,SEAG
30217,Hlth,with
30218,Commlttee,Committee
30219,mm,with
30220,efflclently,efficiently
30221,Congrsslonal,Congressional
30222,A,CMA
30223,addltlon,addition
30224,m,to
30225,thls,this
30226,submltted,submitted
30227,Cummlttee,Committee
30228,mm,with
30229,SEAG,SEAG
30230,G,G
30231,F,OF
30232,m,to
30233,by,by
30234,Commlttee,Committee
30235,mm,with
30236,cm,CMA
30237,standlng,standing
30238,commlttees,committees
30239,mm,with
30240,mm,with
30241,Progrms,Programs
30242,regardlng,regarding
30243,sppc,SPPC
30244,Commlttee,Committee
30245,sppc,SPPC
30246,m,to
30247,pollcy,policy
30248,mm,with
30249,sppc,SPPC
30250,mm,with
30251,a,a
30252,confllcts,conflicts
30253,opn,opinion
30254,cm,CMA
30255,SW,SPPC
30256,servlng,serving
30257,th,this
30258,overslght,oversight
30259,mechanlsm,mechanism
30260,consrtla,consortia
30261,m,cTf
30262,a,a
30263,conslsency,consistency
30264,lltlgatlon,litigation
30265,Hlth,with
30266,a,a
30267,unpllcallons,implications
30268,antltrust,antitrust
30269,consrtla,consortia
30270,afflllate,affiliate
30271,Hlth,with
30272,a,a
30273,a,a
30274,Membershlp,Membership
30275,brlng,bring
30276,Commlttee,Committee
30277,m,to
30278,CMAS,CMAs
30279,Commlttee,Committee
30280,analyzlng,analyzing
30281,affectlng,affecting
30282,alertlng,alerting
30283,cm,CMA
30284,whlch,which
30285,competltlveness,competitiveness
30286,v,US
30287,Industry,Industry
30288,Admlnlstratln,Administration
30289,ndcated,indicated
30290,ndstres,industries
30291,thlrd,third
30292,affectlng,affecting
30293,competltlvenss,competitiveness
30294,Hlth,with
30295,v,US
30296,v,US
30297,ndustry,industry
30298,mmmnmm,INTERNATIONAL
30299,xx,IX
30300,nghllhts,Highlights
30301,dlvlded,divided
30302,a,a
30303,thls,this
30304,dlvlslon,division
30305,pollthlly,politically
30306,presslng,pressing
30307,leglsltlon,legislation
30308,a,a
30309,Commlttee,Committee
30310,H,H
30311,a,a
30312,Commlttee,Committee
30313,dld,did
30314,x,HR
30315,hearlngs,hearings
30316,Th,The
30317,Commlttee,Committee
30318,dld,did
30319,USTR,USTR
30320,mm,with
30321,a,a
30322,Agreemnt,Agreement
30323,hlghllghts,highlights
30324,m,from
30325,bllllon,billion
30326,deflclt,deficit
30327,ndcate,indicate
30328,a,a
30329,I,I
30330,Commlttee,Committee
30331,mmmnmuu,INTERNATIONAL
30332,nghllhts,Highlights
30333,ramlflcatlons,ramifications
30334,Commlttees,Committees
30335,ISAC,ISACs
30336,Aprll,April
30337,affectlng,affecting
30338,A,A
30339,Aprll,April
30340,wlthdrawal,withdrawal
30341,GS,GS
30342,m,to
30343,Admlnlsratlon,Administration
30344,USTR,USTR
30345,ntlated,initiated
30346,v,US
30347,o,of
30348,v,US
30349,v,US
30350,GATT,GATT
30351,PRC,PRC
30352,membershlp,membership
30353,Mlnlsterlal,Ministerial
30354,Commlttee,Committee
30355,monthly,monthly
30356,maaelngs,maaelngs
30357,MTN,MTN
30358,A,QA
30359,ncludng,including
30360,a,a
30361,CMAS,CMAs
30362,MTN,MTN
30363,sensltlve,sensitive
30364,CMADCITA,CMACTA
30365,MTN,MTN
30366,Commlttees,Committees
30367,esponslble,responsible
30368,CMADCITA,CMAOCITA
30369,USCanada,USCanada
30370,m,to
30371,CMADCITA,CMAOCITA
30372,a,a
30373,USCanada,USCanada
30374,v,US
30375,a,a
30376,v,US
30377,heckllst,checklist
30378,by,by
30379,MTN,MTN
30380,submltted,submitted
30381,mm,with
30382,exemptlonlmport,exemptionimport
30383,sensltlve,sensitive
30384,addltlon,addition
30385,m,to
30386,v,US
30387,E,ie
30388,reports,reports
30389,Plannlng,Planning
30390,MTN,MTN
30391,t,t
30392,Commlttee,Committee
30393,msmcy,USITC
30394,vsmc,USITC
30395,compatltlvnass,compatitlvanass
30396,v,US
30397,ndustry,industry
30398,prashlpman,prashipmant
30399,n,in
30400,v,US
30401,shlpment,shipment
30402,by,by
30403,cm,CMA
30404,Gs,GSP
30405,m,to
30406,provldlng,providing
30407,righrs,righrs
30408,admlnlstratlve,administrative
30409,v,US
30410,s,US
30411,exltlng,existing
30412,cm,CMA
30413,Hlth,with
30414,GS,GS
30415,mm,with
30416,USCanada,USCanada
30417,FTA,FTA
30418,th,th
30419,flrst,first
30420,ndcated,indicated
30421,Dmnlbus,Omnibus
30422,x,as
30423,asslgned,assigned
30424,x,HR
30425,th,th
30426,Commlttee,Committee
30427,chman,chairman
30428,Subcommlttee,Subcommittee
30429,Commlttee,Committee
30430,Commlttee,Committee
30431,hearlngs,hearings
30432,a,a
30433,v,US
30434,deflclt,deficit
30435,Authorlty,Authority
30436,Representtve,Representative
30437,msmy,USTR
30438,ndcated,indicated
30439,a,a
30440,mm,bill
30441,authorlty,authority
30442,Commlttee,Committee
30443,USCanaa,USCanada
30444,FTA,FTA
30445,b,basis
30446,m,to
30447,whlch,which
30448,m,to
30449,mm,with
30450,Competltlveness,Competitiveness
30451,Counclls,Councils
30452,representtves,representatives
30453,offlclals,officials
30454,y,by
30455,rapldly,rapidly
30456,growlng,growing
30457,grantlng,granting
30458,a,a
30459,m,to
30460,countervalllng,countervailing
30461,FCPA,FCPA
30462,mm,FCPA
30463,Countervalllng,Countervailing
30464,tlghtenln,tightening
30465,accountlng,accounting
30466,A,A
30467,mlght,might
30468,v,US
30469,rlghts,rights
30470,A,A
30471,efnrt,effort
30472,m,to
30473,R,FOR
30474,mmmnmmz,INTERNATIONA
30475,Commlttee,Committee
30476,Actlvltles,Activities
30477,prlorltls,priorities
30478,a,a
30479,mpllcatlons,implications
30480,a,a
30481,Hlth,with
30482,A,A
30483,v,US
30484,a,a
30485,USCanada,USCanada
30486,ndustry,industry
30487,cm,CMA
30488,Hlth,with
30489,m,to
30490,Admlnlstratlon,Administration
30491,USCanada,USCanada
30492,MTN,MTN
30493,th,th
30494,Expansln,Expansion
30495,cm,CMA
30496,Prlnclples,Principles
30497,concernlng,concerning
30498,MTN,MTN
30499,USCanada,USCanada
30500,USCanada,USCanada
30501,USCanada,USCanada
30502,Prlnclples,Principles
30503,PRC,PRC
30504,Prlnclples,Principles
30505,nghts,Rights
30506,respondlng,responding
30507,mmmnmmz,INTERNATIONA
30508,Partlclatlon,Participation
30509,Partlclatlon,Participation
30510,hearlngs,hearings
30511,Hlth,with
30512,Vlth,vlth
30513,v,US
30514,responslble,responsible
30515,UsTR,USTR
30516,DOC,DOC
30517,I,ITC
30518,Vlth,vlth
30519,mm,with
30520,Washlngton,Washington
30521,Vlth,vlth
30522,Plannlng,Planning
30523,m,to
30524,cm,CMA
30525,mm,with
30526,DCITAS,OCITAs
30527,Commlttee,Committee
30528,ndustrys,industrys
30529,admlnlstratlve,administrative
30530,I,I
